name,mass,year,lat,lng,recclass,group,fall,id
Meerut,22.0,1861,29.0167,77.8,H5,Stony,Fell,15469
Lutschaunig's Stone,100000.0,1861,-27.0,-70.0,L6,Stony,Found,14762
Vaca Muerta,3828000.0,1861,-25.75,-70.5,Mesosiderite-A1,Stony-Iron,Found,24142
Menow,10500.0,1862,53.1833,13.15,H4,Stony,Fell,15485
Sevilla,180.0,1862,37.4167,-6.0,LL4,Stony,Fell,23508
Kokomo,1800.0,1862,40.4833,-86.3667,"Iron, IVB",Iron,Found,12340
Buschhof,5000.0,1863,46.45,25.7833,L6,Stony,Fell,5178
Manbhoom,1700.0,1863,23.05,86.7,LL6,Stony,Fell,15402
Pillistfer,23250.0,1863,58.6667,25.7333,EL6,Stony,Fell,18822
Pulsora,560.0,1863,23.3667,75.1833,H5,Stony,Fell,18899
Shytal,3200.0,1863,24.3333,90.1667,L6,Stony,Fell,23584
Tourinnes-la-Grosse,14500.0,1863,50.7833,4.7667,L6,Stony,Fell,24038
Bacubirito,22000000.0,1863,26.2,-107.8333,"Iron, ungrouped",Iron,Found,4919
Copiapo,20000.0,1863,-27.3,-70.4,"Iron, IAB-MG",Iron,Found,5442
Obernkirchen,41000.0,1863,52.2667,9.1,"Iron, IVA",Iron,Found,17976
Russel Gulch,13200.0,1863,39.8,-105.5,"Iron, IIIAB",Iron,Found,22788
Smith's Mountain,5000.0,1863,36.4167,-80.0,"Iron, IIIAB",Iron,Found,23652
St. Francois County,3600.0,1863,37.75,-90.5,"Iron, IC",Iron,Found,23085
Tomhannock Creek,1500.0,1863,42.8833,-73.6,H5,Stony,Found,24022
Wabar,2550000.0,1863,21.4997,50.4722,"Iron, IIIAB",Iron,Found,24194
Wairarapa Valley,6000.0,1863,-41.3167,175.1333,H6,Stony,Found,24199
Dolgovoli,1600.0,1864,50.75,25.3,L6,Stony,Fell,7659
Nerft,10250.0,1864,56.5,21.5,L6,Stony,Fell,16945
Orgueil,14000.0,1864,43.8833,1.3833,CI1,Stony,Fell,18026
Tamentit,510000.0,1864,27.7167,-0.25,"Iron, IIIAB",Iron,Found,23798
Aumale,50000.0,1865,36.1667,3.6667,L6,Stony,Fell,4899
Dundrum,2270.0,1865,52.55,-8.0333,H5,Stony,Fell,7745
Gopalpur,1600.0,1865,24.2333,89.05,H6,Stony,Fell,10948
Muddoor,4400.0,1865,12.6333,77.0167,L5,Stony,Fell,16841
Shergotty,5000.0,1865,24.55,84.8333,Martian (shergottite),Stony,Fell,23530
Supuhee,7235.0,1865,26.7167,84.2167,H6,Stony,Fell,23760
Vernon County,1500.0,1865,43.5,-91.1667,H6,Stony,Fell,24168
Dellys,76.0,1865,36.9167,3.9167,Iron,Iron,Found,6643
